client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
camelcase,3.0.0,4.0.0,11,3,82,88,170,10,FALSE
camelcase,4.0.0,4.1.0,12,4,27,12,39,4,FALSE
chai-immutable,0.2.0,0.2.1,1,4,16,6,22,4,FALSE
chai-immutable,0.2.1,0.3.0,2,12,381,157,538,18,FALSE
chai-immutable,0.3.0,1.0.2,3,26,312,70,382,47,FALSE
chai-immutable,1.0.2,1.1.1,4,7,136,7,143,9,FALSE
chai-immutable,1.1.1,1.2.0,5,6,31,12,43,8,FALSE
chai-immutable,1.2.0,1.3.0,6,16,658,593,1251,24,FALSE
chai-immutable,1.3.0,1.4.0,7,19,239,62,301,26,FALSE
chai-immutable,1.4.0,1.5.0,8,5,83,6,89,6,FALSE
chai-immutable,1.5.0,1.5.1,9,7,600,192,792,8,FALSE
chai-immutable,1.5.1,1.5.2,10,4,28,7,35,8,FALSE
chai-immutable,1.5.2,1.5.3,11,7,58,18,76,9,FALSE
chai-immutable,1.5.3,1.5.4,12,8,351,37,388,10,FALSE
chai-immutable,1.5.4,1.6.0,13,38,1272,327,1599,57,FALSE
chart.js,1.0.1-beta.2,1.0.1,1,90,2412,843,3255,155,FALSE
chart.js,1.0.1,1.0.2,2,45,414,156,570,70,FALSE
chart.js,1.0.2,1.1.0,3,1202,286049,197168,483217,3750,FALSE
chart.js,1.1.0,1.1.1,4,22,18352,17524,35876,46,FALSE
chart.js,1.1.1,2.0.0,5,1,17472,17472,34944,6,FALSE
chart.js,2.0.0,2.0.1,6,25,33854,33361,67215,42,FALSE
chart.js,2.0.1,2.0.2,7,3,3179,3466,6645,19,TRUE
chart.js,2.0.2,2.1.0,8,175,100588,63643,164231,538,FALSE
chart.js,2.1.0,2.1.1,9,24,35843,34160,70003,47,FALSE
chart.js,2.1.1,2.1.2,10,23,19661,18456,38117,53,FALSE
chart.js,2.1.2,2.1.3,11,33,65894,65592,131486,119,FALSE
chart.js,2.1.3,2.1.4,12,86,34762,33688,68450,260,FALSE
chart.js,2.1.4,2.1.5,13,97,49285,45159,94444,248,FALSE
chart.js,2.1.5,2.1.6,14,3,23,19,42,9,FALSE
chart.js,2.1.6,2.2.0-rc.1,15,86,2783,74634,77417,278,FALSE
chart.js,2.2.0-rc.1,2.2.0-rc.2,16,19,827,148,975,51,FALSE
chart.js,2.2.0-rc.2,2.2.0,17,19,2187,370,2557,29,FALSE
chart.js,2.2.0,2.2.1,18,13,613,18,631,17,FALSE
chart.js,2.2.1,2.2.2,19,40,2021,253,2274,90,FALSE
chart.js,2.2.2,2.3.0-rc.1,20,51,2626,2507,5133,250,FALSE
chart.js,2.3.0-rc.1,2.3.0,21,1,1,1,2,1,TRUE
chart.js,2.3.0,2.4.0,22,62,10701,6025,16726,327,FALSE
chart.js,2.4.0,2.5.0,23,61,4585,2159,6744,151,FALSE
chart.js,2.5.0,2.6.0,24,76,10715,6280,16995,449,FALSE
command-line-args,0.0.0,0.0.1,1,1,36,117,153,4,TRUE
command-line-args,0.0.1,0.0.2,2,7,116,63,179,14,TRUE
command-line-args,0.0.2,0.1.0,3,3,31,6,37,4,FALSE
command-line-args,0.1.0,0.2.0,4,9,374,207,581,36,FALSE
command-line-args,0.2.0,0.2.1,5,2,2,1,3,2,FALSE
command-line-args,0.2.1,0.2.2,6,4,59,31,90,6,FALSE
